SegmentID,SegmentType,Symbol,StationID,Code,Arrival,Departure,Minutes
1860943,I,XKAHPPI902,63,ELTON ,10/4/17 17:09,10/4/17 17:54,45
1860944,I,XKAHPPI902,47,BLOSSB,10/4/17 11:51,10/4/17 12:01,10
1860951,I,STACOMA101,13,CRAVER,10/5/17 9:40,10/5/17 9:42,2
1860952,I,XKAHPPI902,56,CLRKST,10/4/17 15:01,10/4/17 15:04,3
1860956,I,XKAHPPI902,15,BELGRA,10/4/17 15:49,10/4/17 15:52,3
1860964,I,XKAHPPI902,60,EDDY  ,10/4/17 5:19,10/4/17 5:35,16
1860965,I,XKAHPPI902,52,BEARMT,10/4/17 10:00,10/4/17 10:04,4
1860967,I,XKAHPPI902,70,JENS  ,10/4/17 10:42,10/4/17 10:44,2
1860976,I,XKAHPPI902,23,TOWNMT,10/4/17 14:19,10/4/17 14:21,2
1860997,I,STACOMA101,84,TUSCOR,10/4/17 7:59,10/4/17 8:00,1
1861003,I,STACOMA101,56,CLRKST,10/4/17 23:28,10/4/17 23:30,2
1861006,I,STACOMA101,23,TOWNMT,10/4/17 21:25,10/4/17 21:27,2
1861009,I,STACOMA101,53,BONNER,10/4/17 13:54,10/4/17 14:26,32
1861013,I,STACOMA101,76,NIMROD,10/4/17 14:57,10/4/17 14:59,2
1861016,I,XKAHPPI902,16,BOZEMA,10/4/17 16:01,10/4/17 16:04,3
1861018,I,XKAHPPI902,31,THOFAL,10/4/17 4:57,10/4/17 5:00,3
1861021,I,XKAHPPI902,40,LOGAMT,10/4/17 15:28,10/4/17 15:31,3
1861046,I,STACOMA101,52,BEARMT,10/4/17 15:08,10/4/17 15:11,3
1861056,I,STACOMA101,31,THOFAL,10/4/17 8:34,10/4/17 8:41,7
1861060,I,STACOMA101,34,TOSTON,10/4/17 21:36,10/4/17 22:13,37
1861064,I,STACOMA101,40,LOGAMT,10/4/17 23:59,10/5/17 0:09,10
1861067,I,XKAHPPI902,22,GARRMT,10/4/17 10:54,10/4/17 11:12,18
1861069,I,STACOMA101,26,NOXON ,10/4/17 7:48,10/4/17 7:50,2
1861071,I,STACOMA101,12,COLUMT,10/5/17 9:50,10/5/17 9:53,3
1861072,I,XKAHPPI902,7,PARAMT,10/4/17 6:01,10/4/17 6:04,3
1861080,I,STACOMA101,73,LOUISV,10/4/17 20:06,10/4/17 20:08,2
1861084,I,STACOMA101,36,HOPEID,10/4/17 3:22,10/4/17 5:07,105
1861089,I,STACOMA101,77,QUEBEC,10/5/17 9:09,10/5/17 9:10,1
1861096,I,XKAHPPI902,78,RAPIDS,10/4/17 20:16,10/4/17 20:36,20
1861102,I,XKAHPPI902,76,NIMROD,10/4/17 9:50,10/4/17 9:52,2
1861105,I,XKAHPPI902,73,LOUISV,10/4/17 13:48,10/4/17 13:51,3
1861106,I,XKAHPPI902,26,NOXON ,10/4/17 4:12,10/4/17 4:14,2
1861107,I,XKAHPPI902,34,TOSTON,10/4/17 14:29,10/4/17 14:31,2
1861112,I,STACOMA101,54,CARNEY,10/5/17 8:39,10/5/17 8:41,2
1861128,I,XKAHPPI902,14,REEPTM,10/4/17 19:10,10/4/17 19:13,3
1861142,I,STACOMA101,46,HERON ,10/4/17 6:28,10/4/17 7:32,64
1861143,I,STACOMA101,18,BIGTIM,10/5/17 8:48,10/5/17 8:50,2
1861145,I,STACOMA101,14,REEPTM,10/5/17 9:27,10/5/17 9:31,4
1861147,I,XKAHPPI902,17,MANHMT,10/4/17 15:36,10/4/17 15:38,2
1861158,I,STACOMA101,86,WINSTN,10/4/17 20:20,10/4/17 21:10,50
1861169,I,XKAHPPI902,13,CRAVER,10/4/17 19:21,10/4/17 19:23,2
1861170,I,XKAHPPI902,43,CHILDS,10/4/17 4:39,10/4/17 4:41,2
1861172,I,XKAHPPI902,86,WINSTN,10/4/17 14:03,10/4/17 14:05,2
1861173,I,XKAHPPI902,55,CLINTN,10/4/17 9:36,10/4/17 9:38,2
1861175,I,XKAHPPI902,72,LOMBRD,10/4/17 14:46,10/4/17 14:50,4
